episode,actor_loss,critic_loss,entropy,total_loss,clip_fraction,kl_divergence,grad_norm,value_pred_mean,advantage_mean,ratio_mean
3040,0.006588,0.021643,0.432288,0.019585,0.0952,0.035597,1.1208,0.144876,0.000000,0.993289
3045,0.010178,0.022007,0.385029,0.024484,0.1066,0.032306,0.8672,0.140195,-0.000000,0.993600
3050,0.029242,0.023704,0.383542,0.045275,0.1492,0.061969,1.2374,0.126248,-0.000000,0.997901
3055,-0.007459,0.019703,0.362539,0.004994,0.1470,0.005134,0.6165,0.122444,-0.000000,1.027726
3060,0.004659,0.035993,0.409945,0.032452,0.0812,0.039045,1.2519,0.115078,0.000000,0.993971
3065,0.008479,0.025174,0.390663,0.025840,0.0822,0.036975,1.1100,0.091398,-0.000000,0.995678
3070,0.009150,0.030933,0.384272,0.032398,0.1075,0.043735,1.5159,0.105372,-0.000000,1.002381
3075,0.014430,0.021191,0.429649,0.027029,0.1058,0.042878,1.2811,0.105603,-0.000000,0.993423
3080,0.005613,0.051798,0.418359,0.049044,0.0971,0.036913,1.0495,0.098884,-0.000000,0.992695
3085,0.005361,0.036290,0.390781,0.033835,0.1192,0.036796,0.9918,0.118366,-0.000000,1.001840
3090,0.015742,0.023163,0.402154,0.030862,0.1050,0.040145,1.3748,0.153807,-0.000000,1.019188
3095,0.010137,0.031591,0.367127,0.034385,0.1098,0.043280,1.1133,0.178703,-0.000000,0.998702
3100,0.008509,0.022922,0.372228,0.023986,0.1111,0.038364,1.0765,0.192689,0.000000,1.001516
3105,0.004898,0.028764,0.371691,0.026228,0.1018,0.043702,1.0153,0.194419,-0.000000,1.007512
3110,0.009304,0.026769,0.399873,0.028075,0.1097,0.053816,1.1641,0.197972,0.000000,0.994762
3115,-0.000971,0.020289,0.359074,0.012137,0.1259,0.043816,0.6724,0.192713,-0.000000,1.004872
3120,0.033948,0.033028,0.420306,0.058571,0.0861,0.039868,3.6360,0.209158,0.000000,1.011730
