episode,total_reward,red_reward,black_reward,steps,result,elapsed_time
2865,27.4500,2.1500,25.3000,175,black_win,3918.1
2866,12.6500,5.3700,7.2800,156,draw,3920.3
2867,13.4000,6.1300,7.2700,182,draw,3921.1
2868,13.0800,7.1100,5.9700,214,draw,3922.1
2869,13.0600,7.0400,6.0200,216,draw,3923.3
2870,29.7200,24.5000,5.2200,251,red_win,3924.6
2871,0.2100,-4.3200,4.5300,75,draw,3926.1
2872,29.6700,4.4500,25.2200,155,black_win,3926.7
2873,23.8800,25.3000,-1.4200,128,red_win,3927.2
2874,11.1900,4.2000,6.9900,201,draw,3928.0
2875,14.4000,7.2600,7.1400,183,draw,3928.7
2876,27.0200,25.1500,1.8700,218,red_win,3930.3
2877,12.4400,6.2200,6.2200,177,draw,3931.1
2878,26.7200,25.2000,1.5200,147,red_win,3931.7
2879,13.4400,7.3500,6.0900,178,draw,3932.4
2880,25.9100,25.2400,0.6700,127,red_win,3932.9
2881,28.8800,3.5100,25.3700,234,black_win,3935.7
2882,9.7900,6.2600,3.5300,133,draw,3936.2
2883,29.3900,25.2600,4.1300,183,red_win,3936.9
2884,11.1000,7.1900,3.9100,210,draw,3937.9
2885,29.1900,25.2800,3.9100,203,red_win,3939.0
2886,9.3800,2.2200,7.1600,180,draw,3941.1
2887,7.6400,6.2500,1.3900,146,draw,3941.8
2888,28.7600,26.3100,2.4500,139,red_win,3942.5
2889,7.5300,3.4400,4.0900,151,draw,3943.1
2890,13.8800,6.8800,7.0000,235,draw,3944.0
2891,9.0200,-5.4900,14.5100,51,black_win,3947.6
2892,7.4700,4.3000,3.1700,157,draw,3948.3
2893,10.6400,3.1800,7.4600,155,draw,3949.1
2894,28.2700,3.1200,25.1500,194,black_win,3950.0
2895,12.0100,7.4600,4.5500,119,draw,3950.7
2896,29.5600,25.2900,4.2700,166,red_win,3952.2
2897,28.5500,25.1100,3.4400,166,red_win,3952.8
2898,13.6800,6.8400,6.8400,255,draw,3953.9
2899,12.6100,5.8000,6.8100,261,draw,3954.9
2900,25.9800,0.7000,25.2800,120,black_win,3955.4
2901,24.7400,25.2200,-0.4800,143,red_win,3961.2
2902,6.0100,1.7000,4.3100,95,draw,3961.6
2903,12.2800,5.0100,7.2700,193,draw,3962.8
2904,11.2200,4.3400,6.8800,198,draw,3963.7
2905,27.5600,22.2600,5.3000,164,red_win,3964.6
2906,25.9000,0.7200,25.1800,128,black_win,3966.7
2907,11.1000,4.3900,6.7100,210,draw,3967.7
2908,23.1700,25.2700,-2.1000,98,red_win,3968.1
2909,27.4300,25.2300,2.2000,177,red_win,3968.9
2910,27.4000,25.8900,1.5100,174,red_win,3969.6
2911,13.8200,6.9100,6.9100,241,draw,3973.2
2912,14.1900,7.1000,7.0900,204,draw,3974.1
2913,-1.8200,0.5700,-2.3900,58,draw,3974.3
2914,12.4300,6.3900,6.0400,178,draw,3975.2
2915,21.9100,-0.4100,22.3200,105,black_win,3975.7
2916,12.8500,7.2800,5.5700,130,draw,3976.8
2917,24.0500,-1.5700,25.6200,111,black_win,3977.3
2918,6.1100,3.6500,2.4600,97,draw,3978.2
2919,26.9000,0.2100,26.6900,123,black_win,3978.8
2920,14.1400,7.1300,7.0100,209,draw,3979.7
2921,13.5500,6.0900,7.4600,167,draw,3984.2
2922,4.0800,3.4000,0.6800,98,draw,3984.7
2923,10.9600,6.9900,3.9700,224,draw,3985.8
2924,12.4100,7.1500,5.2600,180,draw,3986.7
2925,7.1000,2.5400,4.5600,105,draw,3987.2
2926,27.3300,2.1500,25.1800,187,black_win,3991.8
2927,28.7100,25.2500,3.4600,150,red_win,3992.4
2928,-4.9500,-3.2400,-1.7100,62,draw,3992.6
2929,14.0600,7.1500,6.9100,217,draw,3993.5
2930,12.6400,6.3800,6.2600,157,draw,3994.2
2931,29.4100,25.5100,3.9000,181,red_win,3995.7
2932,11.7200,5.3200,6.4000,142,draw,3996.3
2933,12.5400,7.1000,5.4400,167,draw,3997.0
2934,10.4900,6.9600,3.5300,170,draw,3997.7
2935,10.7400,5.3700,5.3700,145,draw,3998.2
2936,25.8800,24.6400,1.2400,118,red_win,4001.0
2937,14.2200,7.1700,7.0500,201,draw,4002.3
2938,12.5600,5.2100,7.3500,165,draw,4003.3
2939,9.6600,3.3400,6.3200,146,draw,4004.0
2940,9.6600,5.4200,4.2400,146,draw,4005.0
2941,27.5900,25.4300,2.1600,161,red_win,4007.3
2942,-4.9500,-2.4800,-2.4700,62,draw,4007.5
2943,4.0700,5.3600,-1.2900,99,draw,4007.9
2944,13.4200,6.3200,7.1000,180,draw,4008.6
2945,28.4300,3.3800,25.0500,178,black_win,4009.3
2946,12.7200,7.3100,5.4100,149,draw,4011.8
2947,13.0400,5.9000,7.1400,218,draw,4012.8
2948,13.5300,6.2600,7.2700,169,draw,4013.5
2949,8.6800,5.1100,3.5700,137,draw,4014.0
2950,9.9300,4.5200,5.4100,113,draw,4014.5
2951,28.6200,2.3800,26.2400,153,black_win,4017.8
2952,-4.8900,-1.4400,-3.4500,56,draw,4018.0
2953,13.4100,5.9600,7.4500,181,draw,4018.8
2954,11.5700,6.0800,5.4900,157,draw,4019.4
2955,10.7600,5.4700,5.2900,137,draw,4020.0
2956,26.6400,25.0400,1.6000,155,red_win,4024.2
2957,13.0500,6.3400,6.7100,318,draw,4025.5
2958,11.3300,7.3600,3.9700,187,draw,4026.2
